text,description,parent_asin,review_title,verified_purchase,rating,product_title,id
These are exactly what I wanted! Great quality.,"['New to our product line are these nice Stainless Steel Stackable Name Rings, they are available in Matte, Shiny, Rose Gold, Gold and Coffee colors Stainless Steel. Each ring is personalized with your choice of wording and/or dates. The rings are made of Stainless Steel that will not fade, tarnish or stain your skin. Rose Gold, Gold and Coffee colors are plated over Stainless Steel. Each ring is 3mm wide, the perfect width for stacking! **LISTING IS FOR 1 RING** ( Picture shows five individual rings which are sold separately) Change Quantity to desired number of rings and add to cart separately ****INSIDE ENGRAVING NOT AVAILABLE FOR THIS RING**** ------------ORDERING INSTRUCTIONS--------------- 1. Select Quantity 2. Select Color3. Select Size 4. Enter personalization (35 characters max.) **Please note: Paint in rings is not permanent and will come out over time, length will vary depending on wear of ring. This can easily be repainted at any time using a paint marker and wiping excess with alcohol. Unfortunately, there is not a way to make it permanent in stainless steel, however the engraving (stamping) will always be there**']",B015YI5I40,Great quality.,False,5.0,"Personalized Stackable Name Ring - Stacking Rings - Matte, Shiny, Rose Gold, Gold and Coffee Colors - 3mm Width",1712
I brought 2 for my sons Minecraft room and they love them. Definitely gotta choose the right size I got both of them in  36”wide x 18” tall and it was a pretty big size. You have to take your time with peeling off the transfer paper from the wall I used a credit card to help with peeling the sword off the transfer paper. Before putting them up I laid mines on the floor when I took them out the box and put something a little heavy around the border for about 2 hours to straighten it out a little since it comes rolled up. I had my husband help with peeling the transfer paper and sword with the name on it off the back sheet and he helped me place it on the wall since it was a lot bigger than I expected but I’m glad I got it that size. Shipping was actually fast considering that it’s  customized. Packaging was great as well,"['IMAGE SHOWN for display purpose only. See size options from the menu to pick the size you want. Size is an estimate and will be as close as possible depending on length of name to be personalized. Full written and video instructions are included.', 'Our customized wall decal is the perfect addition to any room. You will receive one elegant made to order wall decal for one low price. The decal colors are a matte finish which will look like a painted on wall mural once applied. Please choose the color of the sword as text is cut out and will be your surface color. Your friends and family will envy your home and you with this wonderfully designed decal. The decal can be applied to slightly textured or smooth walls and can be applied to any type of smooth surface such as glass, mirror, finished wood, canvas, etc. Easy application and video tutorial instructions are included. Our DIY decal comes ready to apply with application tape intact for easy setup. Basic colors are available. Other specialty colors can be made. Please contact us for details.', 'We use Oracal brand indoor vinyl. It is specifically made for indoor use and will not damage walls and can last up to 7 years. It is easy to remove by just peeling it off when done, but cannot be reused. It is a great way to decorate when you are unable to paint such as apartments as it will not damage walls when removed.', 'Looking for something else? Email me anytime and I can create a decal specifically for you! All products are made right here in the USA. Copyright and Trademark by WallPressions.']",B07KXDV6YC,My Son’s loves them!,True,5.0,Personalized Custom Video Gamer Sword Name Wall Decal Sticker Customized Sign Monogram Stencil Choose Size Color,43558
Love it,"['Designed for covering led lightbar on your PS4 controller. Decals will not damage the controller in any way. PS4 lightbar decals helps lower the LED brightness and will not affect gameplay! 5-7 year high quality indoor/outdoor vinyl Precision die-cut decal with no background, not a cheap sticker. No ink, will not fade or run. Waterproof, self-adhesive, and removable Can be applied to any smooth surface. Clear application tape is used for easy and accurate placement. All decals are shipped masked and ready for application. *Controller not included*']",B0721LRYWZ,Love it,True,5.0,2x Custom Decal for a Ps4 PlayStation Controller Lightbar Your Name 4 Text LED Personalized LIGHT BAR Font gamertag gamer tag,23107
My friend really liked this gift.  It was well made.  Engraving was perfect. Easy to put together.  I recommend this product.,"['item details:', ""This docking station is compatible with all cell phones including iPhone X, iPhone 8, iPhone 8 plus, all kind of iPhones and all Android phones. Moreover it's compatible with iPad and all kinds of tablet."", ""The item's color shown is WALNUT. There are 8 different colors available for this item: Cherry, Mahogany, Neutral (Beech), Ebony, Teak, Rosewood, Walnut, Slate Grey."", 'This docking station is a great solution to keep all your daily items organized and easy to find. It was designed to keep your smartphone, your tablet, keys, watch, glasses, wallet. Everything is organized in a series of spaces specifically designed.', '- PERSONALIZATIONS-', 'To require your personalizations (color, font style, name) click on SELECT OPTION', '- Choose the Docking Station Color', '- Choose between the two fonts (see the 4th picture as reference).', '- Write the NAME you want to engrave on the Docking Station', 'Please note that if you DO NOT choose the font style I WILL use the Picture N1 of this offering and NOTE that if you DO NOT CHOOSE the name I WILL NOT engrave the Docking Station.', 'The engraved text has a good quality and visibility with each colors.', '- PRODUCT DETAILS -', 'This docking station is composed by 2 plywood bars each of 19 cm x 19 cm (7,5"" x 7,5"")', 'Please note that the accessories shown are not included.', '- SHIPPING -', 'Two shipping methods available:', '- STANDARD SHIPPING:', 'Registered Mail Letter', 'Carrier: Post Office', 'Delivery Time: 12-16 business days approximately', 'Signature required for delivery', '- EXPEDITED:', 'Express pack UPS Saver', 'Carrier: UPS', 'Delivery time: 3-5 business days approximately', 'Signature required for delivery', '- CONTACTS -', ""For further information don't hesitate to contact us and we'll be glad to answer you as soon as possible."", 'See you soon!', 'GretaOto Design']",B071NNLLJ8,Really nice gift for Men!,True,5.0,"Gift for Him, Personalized Gift, Docking Station, Charging Station, Phone Dock, Cell Phone Stand, Desk Organizer, Engraved Docking Station",22596
It is a nice print but it's seriously overpriced at $13. It came up as a related item when I was buying some metal shark signs. It was the same price as the metal ones so I just got buy now. I guess I will invest even more money and buy a frame for it.,['8x10 UNFRAMED Prints'],B0C59JXCQL,It's just a print not a metal sign.,True,3.0,Boys Bathroom Wall Art & Decor - Brush Your Teeth Kids Bathroom Decor - Beach Bathroom Decor - Funny Shark Bathroom Decor - Bath Wall Decor - Unique Restroom Sign - Bathroom Pictures Poster Prints,81103
This is great for a gift for anyone with a “not so common name. I would definitely recommend.,"['HIGH-QUALITY PERMANENT VINYL - We use the highest quality outdoor vinyl to create the decal of your choice. Decal will last up to 3-5 years if tumbler is hand-washed.', 'HIGH-QUALITY PERMANENT VINYL - We use the highest quality outdoor vinyl to create the decal of your choice. Decal will last up to 3-5 years if tumbler is hand-washed.', 'PURE AND HEALTHY STAINLESS STEEL - Made of 100% food grade premium 18/8 304 stainless steel, so our tumblers are BPA free with zero toxins. Make the healthy choice and go with stainless steel.', 'PURE AND HEALTHY STAINLESS STEEL - Made of 100% food grade premium 18/8 304 stainless steel, so our tumblers are BPA free with zero toxins. Make the healthy choice and go with stainless steel.', ""SHATTERPROOF AND DURABLE - These 20 oz tumblers won't break, so they are safe to use by the pool, on a picnic, or anywhere else outdoors. Includes lid and straw to prevent spills."", ""SHATTERPROOF AND DURABLE - These 20 oz tumblers won't break, so they are safe to use by the pool, on a picnic, or anywhere else outdoors. Includes lid and straw to prevent spills."", ""KEEPS YOUR DRINK COLD - Double-walled, vacuum insulated design provides an airtight seal which keeps your drink at the ideal temperature. When filled with chilled drinks, you won't get condensation or sweating on the outer wall of your tumbler."", ""KEEPS YOUR DRINK COLD - Double-walled, vacuum insulated design provides an airtight seal which keeps your drink at the ideal temperature. When filled with chilled drinks, you won't get condensation or sweating on the outer wall of your tumbler."", 'HAND WASH ONLY! Instructions for Ordering:Click on “Select Options” on the right side of the screen Click on the drop down menu “Select Monogram or Font” and choose the monogram or font you want. See photos for options. Click on the drop down menu “Enter Text” and enter the name or initials that you would like on your cup. When selecting a monogram, please pay careful attention to whether it requires a name or initials. Click on the drop down menu “Cup Color” and select the color of the cup you want. See photos for options. Click on the drop down menu “Select Text Color” and choose the color of the text. See photos for options.', 'HAND WASH ONLY!', 'Instructions for Ordering:', 'Click on “Select Options” on the right side of the screen', 'Click on “Select Options” on the right side of the screen', 'Click on the drop down menu “Select Monogram or Font” and choose the monogram or font you want. See photos for options.', 'Click on the drop down menu “Select Monogram or Font” and choose the monogram or font you want. See photos for options.', 'Click on the drop down menu “Enter Text” and enter the name or initials that you would like on your cup. When selecting a monogram, please pay careful attention to whether it requires a name or initials.', 'Click on the drop down menu “Enter Text” and enter the name or initials that you would like on your cup. When selecting a monogram, please pay careful attention to whether it requires a name or initials.', 'Click on the drop down menu “Cup Color” and select the color of the cup you want. See photos for options.', 'Click on the drop down menu “Cup Color” and select the color of the cup you want. See photos for options.', 'Click on the drop down menu “Select Text Color” and choose the color of the text. See photos for options.', 'Click on the drop down menu “Select Text Color” and choose the color of the text. See photos for options.']",B07CXZ2GMW,Great gift for hard to find names.,True,5.0,"Personalized 20 oz Stainless Steel Skinny Tumbler with Custom Monogram Vinyl Decal by Avito - Includes Straw and Lid - Bridesmaid, Bachelorette, Bridal Party Gifts",35973
Truly thought this was on a dictionary page or at least done on a high quality paper. It’s a photo. Like I could’ve saved an image and printed it out at Walgreens for $3. The words are kind of stretched out too like it wasn’t made for an 8x10. Overall I’m disappointed and have to get my cousin a different gift.,['8x10 UNFRAMED Prints'],B081YNNGDH,Disappointed,True,2.0,"Inspirational Quote Wall Art Decor Dictionary Print - 8x10 Upcycled Motivational Home Decoration Poster for Bedroom, Office - Gift for History Fans - UNFRAMED",55564
Great Quality Work<br />My grandbaby loves it,"['Name Puzzles with Mixed Case Raised Letters are', 'highly recommended by early childhood and kindergarten teachers', '.They are colorful, fun, educational and make fantastic gifts. They teach children how they will be taught in school to print their name .', 'All letters, upper and lower case, pass the CPSC choke tube test. ""Holes"" (like in an ""O"") are not cut out. They are just not painted.', 'We use a durable, child safe paint and three clear coats of finish on all puzzles. We do not use a mineral oil based finish. Puzzles sizes are are 4.25"" wide and 12"" - 24"" long and 1/2"" thick mdf. Letters are 1/4"" thick and are NOT intended for teething.', 'Replacement letters are available in our Amazon Store']",B01FKQKGY8,Great Quality Work,True,5.0,Personalized Name Puzzle by J and P Wood Products,10781
Just like the movie,"['These delightful little Doves are the ONLY AUTHENTIC REPLICAS OF THOSE IN THE HOME ALONE 2 MOVIE and come with a CERTIFICATE OF AUTHENTICITY and GIFT NOTE in an attractive JEWELRY STYLE GIFT BOX. Each bears the name of the artist and the copyright notice. They are approximately three inches in wingspan and two inches from beak tip to tail, the EXACT SIZE of those in the movie. A SILVERED CORD is INCLUDED but not attached. They are molded from ‘PELLUCIDA,’ our proprietary compound of resins that looks like porcelain, but unlike porcelain is very strong. They look so delicate and are as light as a feather, but they can withstand being dropped on the floor and other types of abuse. To appreciate the exquisite sculpting of these little birds, hold them up to a light. PLEASE NOTE: FOR RETURNS, SHIPPING TO YOU MAY NOT BE NOT INCLUDED']",B077ZFRZCK,Just like the movie,True,5.0,HOME ALONE 2 DOVES PAIR AUTHENTIC REPLICAS USA made direct from John Perry who created them for the movie,30998
Does not comply with nuclear standards. My accountability is ultimately to god. Glamorized addiction in popular intoxicant educate the public on situation. Preferential treatment is unequivocal in that respect. Overwhelming urge is exactly what is going on here.,['| 100% Leather | 0% Compromise Handcrafted to last |'],B0BTYGY9W6,Returned because it was already used.,True,1.0,Trip Machine Company Leather Motorcycle Grips Wrap Black,79342
